Genetic_ID	Original_Group	Clean_Group	Locality	Publication	Assessment	Italian_Split_Status	Decision	Reason
HGDP00600.DG	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	PROVISIONAL_PASS	Not_applicable	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP00600.HO	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
HGDP00601.DG	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	PROVISIONAL_PASS	Not_applicable	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP00601.HO	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
HGDP00602.DG	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	PROVISIONAL_PASS	Not_applicable	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP00602.HO	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
HGDP00604.DG	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	PROVISIONAL_PASS	Not_applicable	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP00604.HO	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
HGDP00606.DG	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	PROVISIONAL_PASS	Not_applicable	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP00606.HO	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
S_Druze-1.DG	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	PROVISIONAL_PASS	Not_applicable	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
S_Druze-2.DG	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	PROVISIONAL_PASS	Not_applicable	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
GREEKGRALPOP10.HO	Greek	Greek	Thessaloniki	LazaridisKrauseNature2014	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
GREEKGRALPOP11.HO	Greek	Greek	Thessaloniki	LazaridisKrauseNature2014	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
GREEKGRALPOP12.HO	Greek	Greek	Thessaloniki	LazaridisKrauseNature2014	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
GREEKGRALPOP13.HO	Greek	Greek	Thessaloniki	LazaridisKrauseNature2014	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
GREEKGRALPOP14.HO	Greek	Greek	Thessaloniki	LazaridisKrauseNature2014	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
GREEKGRALPOP15.HO	Greek	Greek	Thessaloniki	LazaridisKrauseNature2014	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
GREEKGRALPOP16.HO	Greek	Greek	Thessaloniki	LazaridisKrauseNature2014	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
