Population_1	Population_2	Primary_Hudson_FST	Strict_Hudson_FST	Strict_minus_primary	Absolute_change	Primary_SE	Strict_SE	Primary_SNPs_used	Strict_SNPs_used
Cypriot	Sicilian	0.0029992981952993675	0.0029992981952993675	0.0	0.0	0.0005749537653451331	0.0005749537653451331	166610	166610
Italian_Central	Italian_North	0.0006162457008332751	0.0006162457008332751	0.0	0.0	0.00022444929767893295	0.00022444929767893295	174884	174884
Italian_Central	Italian_South	0.0015367357382879835	0.0015367357382879835	0.0	0.0	0.00023228677234677573	0.00023228677234677573	176537	176537
Italian_Central	Jew_Ashkenazi	0.005127579439857978	0.005127579439857978	0.0	0.0	0.00040752852846596944	0.00040752852846596944	171428	171428
Italian_Central	Jew_Turkish	0.0019388788541343975	0.0019388788541343975	0.0	0.0	0.0003912882626340005	0.0003912882626340005	172512	172512
Italian_Central	Lebanese	0.005349617671043833	0.005349617671043833	0.0	0.0	0.0005653079149447396	0.0005653079149447396	173527	173527
Italian_Central	Lebanese_Christian	0.0047508838021568635	0.0047508838021568635	0.0	0.0	0.0004955509194435761	0.0004955509194435761	172660	172660
Italian_Central	Lebanese_Muslim	0.004123340767693867	0.004123340767693867	0.0	0.0	0.00035787088344389805	0.00035787088344389805	174947	174947
Italian_Central	Maltese	0.0034221834863579995	0.0034221834863579995	0.0	0.0	0.0004665023985446206	0.0004665023985446206	172517	172517
Italian_Central	Sicilian	0.000973745980803937	0.000973745980803937	0.0	0.0	0.0002073744670562242	0.0002073744670562242	173616	173616
Italian_North	Italian_South	0.0024690865117340485	0.0024690865117340485	0.0	0.0	0.00015681168786819372	0.00015681168786819372	176690	176690
Italian_North	Jew_Ashkenazi	0.005941811275323208	0.005941811275323208	0.0	0.0	0.0004868466291754956	0.0004868466291754956	172025	172025
Italian_North	Jew_Turkish	0.003735161473338572	0.003735161473338572	0.0	0.0	0.0004025020972138536	0.0004025020972138536	173092	173092
Italian_North	Lebanese	0.007946000597059601	0.007946000597059601	0.0	0.0	0.0005363818123018733	0.0005363818123018733	174115	174115
Italian_North	Lebanese_Christian	0.006688571174589749	0.006688571174589749	0.0	0.0	0.0003697816319018344	0.0003697816319018344	173557	173557
Italian_North	Lebanese_Muslim	0.005688410415333369	0.005688410415333369	0.0	0.0	0.00032222530961451804	0.00032222530961451804	175492	175492
Italian_North	Maltese	0.0041995010090216745	0.0041995010090216745	0.0	0.0	0.00040568518482084155	0.00040568518482084155	173135	173135
Italian_North	Sicilian	0.001593496691472208	0.001593496691472208	0.0	0.0	0.00035699998424188297	0.00035699998424188297	174130	174130
Italian_South	Jew_Ashkenazi	0.005640459927977246	0.005640459927977246	0.0	0.0	0.000417708617853299	0.000417708617853299	174194	174194
Italian_South	Jew_Turkish	0.002858642867076199	0.002858642867076199	0.0	0.0	0.00035984154027408216	0.00035984154027408216	175049	175049
Italian_South	Lebanese	0.0054670995015036385	0.0054670995015036385	0.0	0.0	0.00044097717938710256	0.00044097717938710256	175750	175750
Italian_South	Lebanese_Christian	0.004411253399343047	0.004411253399343047	0.0	0.0	0.0004963275899249901	0.0004963275899249901	175085	175085
Italian_South	Lebanese_Muslim	0.0038342381740608207	0.0038342381740608207	0.0	0.0	0.00031205852207516526	0.00031205852207516526	176836	176836
Italian_South	Maltese	0.0041119880460543145	0.0041119880460543145	0.0	0.0	0.00039730666756731696	0.00039730666756731696	175104	175104
Italian_South	Sicilian	0.0016902305835936446	0.0016902305835936446	0.0	0.0	0.0002115651568527021	0.0002115651568527021	175868	175868
Jew_Ashkenazi	Jew_Turkish	0.004393095186199773	0.004393095186199773	0.0	0.0	0.00043400160853939525	0.00043400160853939525	165765	165765
Jew_Ashkenazi	Lebanese	0.007455562459110745	0.007455562459110745	0.0	0.0	0.0007140118013183199	0.0007140118013183199	167282	167282
Jew_Ashkenazi	Lebanese_Christian	0.006783166123863392	0.006783166123863392	0.0	0.0	0.0005883730102006838	0.0005883730102006838	166642	166642
Jew_Ashkenazi	Lebanese_Muslim	0.006103783828964277	0.006103783828964277	0.0	0.0	0.0005389445178244036	0.0005389445178244036	170323	170323
Jew_Ashkenazi	Maltese	0.006646429101864536	0.006646429101864536	0.0	0.0	0.0004999964801577591	0.0004999964801577591	165942	165942
Jew_Ashkenazi	Sicilian	0.005083613921845823	0.005083613921845823	0.0	0.0	0.000548805634871385	0.000548805634871385	168832	168832
