Panel	Population_1	Population_2	Hudson_FST_ratio_of_sums	Chromosome_jackknife_SE	CI95_low	CI95_high	SNPs_used	Negative_numerator_SNPs	Sum_numerator	Sum_denominator	Jackknife_blocks
strict_pass	Jew_Turkish	Palestinian	0.006068144665757451	0.000370148762863049	0.005342653090545875	0.006793636240969027	180998	108308	324.90490695276776	53542.709485191845	22
strict_pass	Jew_Turkish	Sicilian	0.001514533263680683	0.00043301277801101735	0.000665828218779089	0.002363238308582277	170152	109725	79.88065919516741	52742.75653810207	22
strict_pass	Jew_Yemenite	Lebanese	0.011461813584972799	0.0004543627329211719	0.010571262628447303	0.012352364541498295	168300	89492	614.8058196761716	53639.48864795908	22
strict_pass	Jew_Yemenite	Lebanese_Christian	0.011222036904348927	0.000388700491516294	0.01046018394097699	0.011983889867720863	168155	95139	597.3248362714194	53227.844584964376	22
strict_pass	Jew_Yemenite	Lebanese_Muslim	0.010553201445605207	0.0005728948526772879	0.009430327534357724	0.01167607535685269	171248	104613	564.580482903792	53498.50335121831	22
strict_pass	Jew_Yemenite	Maltese	0.015456423278754216	0.0005632874820116757	0.014352379814011332	0.0165604667434971	168008	86868	826.6734981284883	53484.13945578216	22
strict_pass	Jew_Yemenite	Palestinian	0.011660802587795437	0.000261568778112856	0.01114812778269424	0.012173477392896634	180847	103659	627.013847156725	53771.071282261255	22
strict_pass	Jew_Yemenite	Sicilian	0.014684360734935604	0.0005689414346943041	0.013569235522934767	0.01579948594693644	170618	101407	783.74655421901	53372.8752899945	22
strict_pass	Lebanese	Lebanese_Christian	0.0025603343431141764	0.00047038571103357303	0.0016383783494883734	0.0034822903367399795	168956	100824	136.1144651032827	53162.769725505634	22
strict_pass	Lebanese	Lebanese_Muslim	0.00212047306374759	0.00039147716549574275	0.0013531778193759342	0.002887768308119246	171817	110269	113.32525543451662	53443.38363545761	22
strict_pass	Lebanese	Maltese	0.00586626158891908	0.0005714138281193172	0.004746290485805219	0.006986232692032942	168595	92938	313.06281280723994	53366.66428217106	22
strict_pass	Lebanese	Palestinian	0.005209159257766339	0.00023819281272056015	0.0047423013448340415	0.005676017170698637	181130	109765	280.35983075940317	53820.552777574325	22
strict_pass	Lebanese	Sicilian	0.004816982050724888	0.0005514568441480176	0.0037361266361947733	0.0058978374652550025	171074	107929	256.464451492531	53241.728698975894	22
strict_pass	Lebanese_Christian	Lebanese_Muslim	0.0016241650946449376	0.0004958853705530705	0.0006522297683609195	0.002596100420928956	171458	110631	86.1165008154636	53022.01180126317	22
strict_pass	Lebanese_Christian	Maltese	0.005712439316390048	0.0005404306076652988	0.004653195325366063	0.006771683307414034	168322	98742	302.54209962150077	52961.98048939467	22
strict_pass	Lebanese_Christian	Palestinian	0.00507258791667299	0.000326748750836623	0.0044321603650332095	0.005713015468312771	181058	109710	270.96238946641523	53416.99225671264	22
strict_pass	Lebanese_Christian	Sicilian	0.0038578475509286943	0.00031445658289729024	0.0032415126484500057	0.004474182453407383	170597	107864	203.6741948349818	52794.775362741224	22
strict_pass	Lebanese_Muslim	Maltese	0.004647353003313434	0.0005002710584095485	0.0036668217288307187	0.005627884277796149	171490	108766	247.2862470355424	53210.127756431284	22
strict_pass	Lebanese_Muslim	Palestinian	0.004260504776593154	0.00027998376018664413	0.003711736606627332	0.004809272946558977	181566	114826	228.69592462588153	53678.12891146542	22
strict_pass	Lebanese_Muslim	Sicilian	0.003207791723043443	0.0005174999264027316	0.002193491867294089	0.004222091578792797	173175	115373	170.22058523249945	53064.724872785686	22
strict_pass	Maltese	Palestinian	0.008472918317057102	0.0003496464673644334	0.007787611241022813	0.009158225393091392	181068	106318	454.38020936721205	53627.35628555332	22
strict_pass	Maltese	Sicilian	0.003034987169216139	0.0004145039509853276	0.0022225594252848974	0.003847414913147381	170080	108837	160.18124668640255	52778.22862354088	22
strict_pass	Palestinian	Sicilian	0.007039343603168602	0.00031759631794037077	0.0064168548200054755	0.007661832386331728	181537	110898	376.4719149841057	53481.11076928328	22
