Panel	Population_1	Population_2	Hudson_FST_ratio_of_sums	Chromosome_jackknife_SE	CI95_low	CI95_high	SNPs_used	Negative_numerator_SNPs	Sum_numerator	Sum_denominator	Jackknife_blocks
primary	Italian_North	Lebanese	0.007946000597059601	0.0005363818123018733	0.00689469224494793	0.008997308949171274	174115	106020	422.1288790605056	53124.69762671719	22
primary	Italian_North	Lebanese_Christian	0.006688571174589749	0.0003697816319018344	0.005963799176062153	0.0074133431731173444	173557	108372	352.22437212280715	52660.63004022847	22
primary	Italian_North	Lebanese_Muslim	0.005688410415333369	0.00032222530961451804	0.005056848808488914	0.006319972022177824	175492	113370	300.9897141021461	52912.7985018125	22
primary	Italian_North	Maltese	0.0041995010090216745	0.00040568518482084155	0.003404358046772825	0.004994643971270524	173135	108963	220.70923165611796	52556.06110868274	22
primary	Italian_North	Palestinian	0.013548764709454954	0.00023472627899858854	0.01308870120261772	0.014008828216292188	183199	93689	724.0090174128428	53437.2714368267	22
primary	Italian_North	Sicilian	0.001593496691472208	0.00035699998424188297	0.0008937767223581174	0.0022932166605862986	174130	117227	83.4202448102508	52350.43489998091	22
primary	Italian_South	Italian_Tuscan	0.018532060957935994	0.0004331413113644273	0.017683103987661715	0.019381017928210273	174145	94181	969.3455908867488	52306.410662417205	22
primary	Italian_South	Jew_Ashkenazi	0.005640459927977246	0.000417708617853299	0.00482175103698478	0.006459168818969712	174194	110306	296.7182553069464	52605.32990141356	22
primary	Italian_South	Jew_Iraqi	0.025703147071126475	0.0006944849280635366	0.024341956612121945	0.027064337530131006	173783	91927	1357.0182868621284	52795.80290720623	22
primary	Italian_South	Jew_Turkish	0.002858642867076199	0.00035984154027408216	0.002153353448138998	0.0035639322860133997	175049	110263	150.50981346417038	52650.79286315707	22
primary	Italian_South	Jew_Yemenite	0.02623838008460474	0.0004430455768198202	0.02537001075403789	0.027106749415171588	175736	91442	1397.2934626017775	53253.80065751977	22
primary	Italian_South	Lebanese	0.0054670995015036385	0.00044097717938710256	0.0046027842299049175	0.0063314147731023595	175750	108102	290.37430580140347	53113.04572407008	22
