panel	K	Ashkenazi_population	comparator	component_euclidean_distance	rank	source
strict_pass	7	Jew_Ashkenazi	Jew_Turkish	0.1084992902382239	2	aligned_replicate_consensus
strict_pass	7	Jew_Ashkenazi	Sicilian	0.13860499204091528	3	aligned_replicate_consensus
strict_pass	7	Jew_Ashkenazi	Italian_South	0.14841861067876716	4	aligned_replicate_consensus
strict_pass	7	Jew_Ashkenazi	Cypriot	0.1664346570770136	5	aligned_replicate_consensus
strict_pass	7	Jew_Ashkenazi	Italian_Central	0.2849744752351635	6	aligned_replicate_consensus
strict_pass	7	Jew_Ashkenazi	Greek	0.31514420480927574	7	aligned_replicate_consensus
strict_pass	7	Jew_Ashkenazi	Italian_Tuscan	0.39864818934674473	8	aligned_replicate_consensus
strict_pass	7	Jew_Ashkenazi	Lebanese_Muslim	0.40309410108270893	9	aligned_replicate_consensus
strict_pass	7	Jew_Ashkenazi	Lebanese_Christian	0.4580605689953257	10	aligned_replicate_consensus
strict_pass	7	Jew_Ashkenazi	Italian_North	0.458510832223663	11	aligned_replicate_consensus
strict_pass	7	Jew_Ashkenazi	Lebanese	0.4669212237595472	12	aligned_replicate_consensus
strict_pass	7	Jew_Ashkenazi	Italian_Bergamo	0.48760066378713185	13	aligned_replicate_consensus
strict_pass	7	Jew_Ashkenazi	Jew_Iraqi	0.5994361964939623	14	aligned_replicate_consensus
strict_pass	7	Jew_Ashkenazi	Druze	0.718339377970532	15	aligned_replicate_consensus
strict_pass	7	Jew_Ashkenazi	Palestinian	0.7624316406729444	16	aligned_replicate_consensus
strict_pass	7	Jew_Ashkenazi	Jew_Yemenite	1.0886658274430627	17	aligned_replicate_consensus
primary	8	Jew_Ashkenazi	Maltese	0.015287866816790889	1	aligned_replicate_consensus
primary	8	Jew_Ashkenazi	Sicilian	0.053865776649123766	2	aligned_replicate_consensus
primary	8	Jew_Ashkenazi	Italian_South	0.06715264905475887	3	aligned_replicate_consensus
primary	8	Jew_Ashkenazi	Jew_Turkish	0.06869916910328855	4	aligned_replicate_consensus
primary	8	Jew_Ashkenazi	Cypriot	0.09983838538122651	5	aligned_replicate_consensus
primary	8	Jew_Ashkenazi	Greek	0.13431849329752146	6	aligned_replicate_consensus
primary	8	Jew_Ashkenazi	Italian_Central	0.1400269476809574	7	aligned_replicate_consensus
primary	8	Jew_Ashkenazi	Lebanese_Christian	0.18509267611666536	8	aligned_replicate_consensus
primary	8	Jew_Ashkenazi	Lebanese_Muslim	0.214820066085835	9	aligned_replicate_consensus
primary	8	Jew_Ashkenazi	Italian_North	0.22640435740418374	10	aligned_replicate_consensus
primary	8	Jew_Ashkenazi	Lebanese	0.23752191711460105	11	aligned_replicate_consensus
primary	8	Jew_Ashkenazi	Jew_Iraqi	0.23972230736130132	12	aligned_replicate_consensus
primary	8	Jew_Ashkenazi	Italian_Bergamo	0.35911700579541966	13	aligned_replicate_consensus
primary	8	Jew_Ashkenazi	Italian_Tuscan	0.485624712698262	14	aligned_replicate_consensus
primary	8	Jew_Ashkenazi	Palestinian	0.5988187907564569	15	aligned_replicate_consensus
primary	8	Jew_Ashkenazi	Jew_Yemenite	0.5994881641489795	16	aligned_replicate_consensus
primary	8	Jew_Ashkenazi	Druze	0.6525406120219566	17	aligned_replicate_consensus
strict_pass	8	Jew_Ashkenazi	Jew_Turkish	0.1009484934492638	1	aligned_replicate_consensus
strict_pass	8	Jew_Ashkenazi	Maltese	0.1157486159219876	2	aligned_replicate_consensus
strict_pass	8	Jew_Ashkenazi	Cypriot	0.17544870094983334	3	aligned_replicate_consensus
strict_pass	8	Jew_Ashkenazi	Sicilian	0.19143484132761177	4	aligned_replicate_consensus
strict_pass	8	Jew_Ashkenazi	Italian_South	0.19514717700703768	5	aligned_replicate_consensus
strict_pass	8	Jew_Ashkenazi	Greek	0.3385055718656694	6	aligned_replicate_consensus
strict_pass	8	Jew_Ashkenazi	Italian_Central	0.3529734772325411	7	aligned_replicate_consensus
strict_pass	8	Jew_Ashkenazi	Italian_Tuscan	0.43160090509223303	8	aligned_replicate_consensus
strict_pass	8	Jew_Ashkenazi	Lebanese_Muslim	0.4546652423578342	9	aligned_replicate_consensus
strict_pass	8	Jew_Ashkenazi	Lebanese	0.46913516989901877	10	aligned_replicate_consensus
strict_pass	8	Jew_Ashkenazi	Italian_North	0.48744835612564785	11	aligned_replicate_consensus
strict_pass	8	Jew_Ashkenazi	Italian_Bergamo	0.5754794314126881	12	aligned_replicate_consensus
strict_pass	8	Jew_Ashkenazi	Lebanese_Christian	0.5765628367162362	13	aligned_replicate_consensus
strict_pass	8	Jew_Ashkenazi	Druze	0.6988263771706064	14	aligned_replicate_consensus
strict_pass	8	Jew_Ashkenazi	Palestinian	0.7239366114428056	15	aligned_replicate_consensus
strict_pass	8	Jew_Ashkenazi	Jew_Iraqi	0.7809639828749306	16	aligned_replicate_consensus
strict_pass	8	Jew_Ashkenazi	Jew_Yemenite	1.1460252668202504	17	aligned_replicate_consensus
primary	9	Jew_Ashkenazi	Maltese	0.018285931722274752	1	aligned_replicate_consensus
primary	9	Jew_Ashkenazi	Sicilian	0.048805553780163304	2	aligned_replicate_consensus
primary	9	Jew_Ashkenazi	Italian_South	0.0633588147943367	3	aligned_replicate_consensus
primary	9	Jew_Ashkenazi	Jew_Turkish	0.06461303063797157	4	aligned_replicate_consensus
primary	9	Jew_Ashkenazi	Cypriot	0.09602909647874383	5	aligned_replicate_consensus
primary	9	Jew_Ashkenazi	Greek	0.12437982962436848	6	aligned_replicate_consensus
primary	9	Jew_Ashkenazi	Italian_Central	0.1300758030307391	7	aligned_replicate_consensus
primary	9	Jew_Ashkenazi	Lebanese_Christian	0.17448691006822079	8	aligned_replicate_consensus
primary	9	Jew_Ashkenazi	Lebanese_Muslim	0.2049274382094511	9	aligned_replicate_consensus
primary	9	Jew_Ashkenazi	Italian_North	0.21010221199967455	10	aligned_replicate_consensus
primary	9	Jew_Ashkenazi	Lebanese	0.22539652288111967	11	aligned_replicate_consensus
primary	9	Jew_Ashkenazi	Jew_Iraqi	0.24133909341810408	12	aligned_replicate_consensus
primary	9	Jew_Ashkenazi	Italian_Bergamo	0.27832087244747594	13	aligned_replicate_consensus
primary	9	Jew_Ashkenazi	Italian_Tuscan	0.4698706727311357	14	aligned_replicate_consensus
primary	9	Jew_Ashkenazi	Jew_Yemenite	0.5185569707964917	15	aligned_replicate_consensus
primary	9	Jew_Ashkenazi	Palestinian	0.6002005865559363	16	aligned_replicate_consensus
primary	9	Jew_Ashkenazi	Druze	0.6329127285984651	17	aligned_replicate_consensus
